SAMPLE_ID	CTBP1	AR
TCGA-VN-A88M-01	2.21	-0.9918
TCGA-VN-A88O-01	-0.9091	-0.4751
TCGA-VN-A88P-01	0.6373	-0.3929
TCGA-VN-A88Q-01	1.6703	-0.3819
TCGA-VP-A872-01	0.8178	-0.9636
TCGA-VP-A875-01	0.8018	-0.2609
TCGA-VP-A876-01	0.8641	-0.4952
TCGA-VP-A878-01	0.1163	-0.5177
TCGA-VP-A879-01	0.5852	-0.0078
TCGA-VP-A87B-01	-0.9319	0.6713
TCGA-VP-A87C-01	0.1419	-0.1367
TCGA-VP-A87D-01	-0.736	0.4863
TCGA-VP-A87E-01	0.1729	-0.4247
TCGA-VP-A87H-01	-0.3142	-0.1852
TCGA-VP-A87J-01	0.1059	0.7514
TCGA-VP-A87K-01	1.2352	0.1329
TCGA-XJ-A83F-01	1.79	-0.9682
TCGA-XJ-A83G-01	-0.1361	-0.8878
TCGA-XJ-A83H-01	-1.1416	-0.1195
TCGA-EJ-A8FO-01	0.4474	-0.0914
TCGA-EJ-A8FP-01	-0.0487	-0.2113
TCGA-EJ-A8FU-01	-0.2153	-0.4285
TCGA-HC-A8CY-01	-0.1362	0.0984
TCGA-HC-A8D0-01	0.6447	-0.628
TCGA-HC-A8D1-01	0.0568	-0.0827
TCGA-J4-A83I-01	0.0226	0.2317
TCGA-J4-A83J-01	-0.5784	-0.1293
TCGA-KK-A8I4-01	1.8924	-0.7395
TCGA-KK-A8I5-01	0.2978	-0.6506
TCGA-KK-A8I6-01	0.6218	-0.4133
TCGA-KK-A8I7-01	-0.3994	-0.1053
TCGA-KK-A8I8-01	1.7984	-0.2759
TCGA-KK-A8I9-01	-0.3514	-0.5964
TCGA-KK-A8IA-01	0.9118	-0.1435
TCGA-KK-A8IB-01	-0.2616	-0.9193
TCGA-KK-A8IC-01	-0.1691	-0.0705
TCGA-KK-A8ID-01	-1.065	0.8348
TCGA-KK-A8IF-01	0.2496	-0.4775
TCGA-KK-A8IG-01	-1.1352	-0.2839
TCGA-KK-A8IH-01	0.1263	-0.7946
TCGA-KK-A8II-01	0.9572	0.2199
TCGA-KK-A8IK-01	-0.2503	-0.7001
TCGA-KK-A8IL-01	0.3153	-0.6911
TCGA-KK-A8IM-01	-0.5844	-0.1658
TCGA-M7-A722-01	-1.0502	-1.0136
TCGA-TK-A8OK-01	-0.7786	-0.1296
TCGA-V1-A8MF-01	-0.9579	-0.5135
TCGA-V1-A8MG-01	-0.4743	0.0622
TCGA-V1-A8MJ-01	0.057	-0.3231
TCGA-V1-A8MK-01	-0.0152	-0.4978
TCGA-VN-A88N-01	0.6432	-0.8667
TCGA-VN-A88R-01	-1.0715	-0.6792
TCGA-X4-A8KQ-01	1.0677	-1.0093
TCGA-X4-A8KS-01	-0.3944	-1.0426
TCGA-XA-A8JR-01	0.0291	-0.3447
TCGA-XQ-A8TA-01	0.3728	7.7532
TCGA-XQ-A8TB-01	0.1413	0.0324
TCGA-YL-A8HJ-01	-0.1849	-0.0198
TCGA-YL-A8HK-01	-1.0799	0.3012
TCGA-YL-A8HL-01	0.6098	1.2597
TCGA-YL-A8HM-01	-1.5217	0.0431
TCGA-YL-A8HO-01	-0.5514	-0.48
TCGA-2A-A8VL-01	1.3987	-0.6068
TCGA-2A-A8VO-01	-0.0394	-0.5658
TCGA-2A-A8VT-01	0.7459	3.9895
TCGA-2A-A8VV-01	1.0528	-0.7605
TCGA-2A-A8VX-01	1.2669	-0.8416
TCGA-2A-A8W1-01	-0.3969	-0.0231
TCGA-2A-A8W3-01	0.7838	1.3724
TCGA-FC-A8O0-01	1.1462	-0.6452
TCGA-V1-A8ML-01	-0.6085	-0.6723
TCGA-V1-A8MM-01	0.7812	-1.032
TCGA-V1-A8MU-01	-0.2395	-0.8345
TCGA-V1-A8WL-01	0.1191	-0.6568
TCGA-V1-A8WN-01	-0.4676	0.7361
TCGA-V1-A8WS-01	1.4232	-0.3778
TCGA-V1-A8WV-01	1.8126	-0.8655
TCGA-V1-A8WW-01	-0.2949	-0.357
TCGA-V1-A8X3-01	-0.6408	0.4536
TCGA-WW-A8ZI-01	0.716	-0.112
TCGA-XJ-A9DI-01	-0.3467	-0.1869
TCGA-XJ-A9DK-01	-0.0179	-0.6872
TCGA-XJ-A9DQ-01	0.4975	-0.9668
TCGA-XJ-A9DX-01	-0.3705	-0.7591
TCGA-Y6-A8TL-01	-0.5173	-0.3843
TCGA-YJ-A8SW-01	-1.969	2.0964
TCGA-YL-A8S8-01	-1.0581	0.8722
TCGA-YL-A8S9-01	-1.3421	0.775
TCGA-YL-A8SA-01	1.2388	-0.2955
TCGA-YL-A8SB-01	-0.094	-0.1265
TCGA-YL-A8SC-01	0.0638	2.152
TCGA-YL-A8SF-01	1.4545	-0.4441
TCGA-YL-A8SH-01	-1.571	-0.6367
TCGA-YL-A8SJ-01	0.8052	-0.0543
TCGA-YL-A8SK-01	-0.1264	-0.5904
TCGA-YL-A8SL-01	-0.86	0.2433
TCGA-YL-A8SO-01	0.0004	-0.6789
TCGA-YL-A8SP-01	0.4692	1.3198
TCGA-YL-A8SQ-01	0.1258	0.2417
TCGA-YL-A8SR-01	-0.4621	-0.1867
TCGA-YL-A9WH-01	-0.6614	-0.1605
TCGA-YL-A9WI-01	0.3444	1.2741
TCGA-YL-A9WJ-01	-0.601	0.5859
TCGA-YL-A9WK-01	-0.0135	-0.5155
TCGA-ZG-A8QW-01	0.2498	-0.8144
TCGA-ZG-A8QX-01	-1.0138	-0.6901
TCGA-ZG-A8QY-01	-0.9214	-0.5092
TCGA-ZG-A8QZ-01	0.419	-0.5124
TCGA-2A-AAYF-01	-0.9365	0.3514
TCGA-2A-AAYO-01	0.3408	-0.5681
TCGA-2A-AAYU-01	0.9918	-0.2461
TCGA-4L-AA1F-01	-0.8809	-0.4324
TCGA-EJ-AB20-01	-0.192	-1.0081
TCGA-EJ-AB27-01	0.069	-0.0174
TCGA-G9-7509-01	0.0166	-0.252
TCGA-G9-A9S0-01	0.7608	-0.8637
TCGA-G9-A9S4-01	3.8993	-0.6947
TCGA-G9-A9S7-01	2.0368	-0.8688
TCGA-HC-A9TE-01	1.2242	-0.4962
TCGA-HC-A9TH-01	0.2246	0.0253
TCGA-J4-AATV-01	-0.1773	-0.5572
TCGA-J4-AATZ-01	-0.2942	1.7144
TCGA-J4-AAU2-01	-0.2452	-0.2167
TCGA-MG-AAMC-01	0.6826	-0.8904
TCGA-TP-A8TT-01	-0.0217	-0.0365
TCGA-TP-A8TV-01	-0.6027	0.3412
TCGA-V1-A9O5-01	-0.2818	-0.1444
TCGA-V1-A9O7-01	-0.753	-0.0127
TCGA-V1-A9O9-01	0.3647	-0.0737
TCGA-V1-A9OA-01	-0.6218	-0.5114
TCGA-V1-A9OF-01	-0.6113	0.2681
TCGA-V1-A9OH-01	-0.2802	-0.6733
TCGA-V1-A9OL-01	0.0213	0.4668
TCGA-V1-A9OQ-01	0.2259	-0.9722
TCGA-V1-A9OT-01	2.8744	-1.0177
TCGA-V1-A9OX-01	-0.4061	-0.931
TCGA-V1-A9OY-01	0.5424	-0.7277
TCGA-V1-A9Z7-01	0.9937	-0.0863
TCGA-V1-A9Z8-01	0.0216	-0.8808
TCGA-V1-A9Z9-01	-0.7205	-0.4901
TCGA-V1-A9ZG-01	-0.1528	0.1699
TCGA-V1-A9ZI-01	1.9157	-0.8842
TCGA-V1-A9ZK-01	-1.0668	0.431
TCGA-V1-A9ZR-01	0.6027	0.4757
TCGA-VN-A943-01	-1.6398	-0.037
