Hybridization REF	CTBP1|1487	AR|367
TCGA-EJ-A6RA-01A-11R-A33R-07	3840.4221	128.6432
TCGA-KK-A8IL-01A-11R-A36G-07	3839.3226	252.131
TCGA-G9-6496-11A-01R-1789-07	3824.9434	88.4696
TCGA-G9-6367-01A-11R-1789-07	3823.1999	551.305
TCGA-KK-A8I5-01A-11R-A36G-07	3822.5874	273.7766
TCGA-HI-7170-01A-11R-2118-07	3788.3343	306.0745
TCGA-G9-6366-01A-11R-2118-07	3782.1069	476.1447
TCGA-ZG-A8QW-01A-11R-A37L-07	3776.8935	186.3154
TCGA-KK-A8IF-01A-11R-A36G-07	3776.6429	366.1698
TCGA-M7-A725-01A-12R-A32O-07	3773.7709	712.3747
TCGA-EJ-7797-01A-11R-2263-07	3770.5075	745.0182
TCGA-V1-A9OQ-01A-11R-A41O-07	3754.0898	102.0859
TCGA-HC-A9TH-01A-11R-A41O-07	3752.8662	634.5162
TCGA-HC-8262-01A-11R-2263-07	3746.0809	598.509
TCGA-KC-A4BR-01A-32R-A32Y-07	3742.4382	429.6578
TCGA-G9-6363-11A-01R-1789-07	3732.273	347.4328
TCGA-EJ-A6RC-01A-11R-A32O-07	3731.0636	524.4701
TCGA-VP-AA1N-01A-31R-A41O-07	3727.1436	99.6302
TCGA-HC-7231-01A-11R-2118-07	3722.9073	900.7965
TCGA-HC-8213-01A-11R-A29R-07	3714.4725	318.9698
TCGA-KK-A7B2-01A-12R-A32O-07	3714.1516	76.0235
TCGA-EJ-5530-01A-01R-1580-07	3711.4172	1824.8974
TCGA-HC-8259-01A-11R-2263-07	3708.8243	599.0486
TCGA-G9-6371-01A-11R-1789-07	3708.1394	451.8412
TCGA-QU-A6IM-01A-11R-A31N-07	3704.8357	29.6343
TCGA-VP-A87E-01A-31R-A352-07	3703.5586	394.3305
TCGA-HC-7819-01A-11R-2118-07	3697.3461	865.7744
TCGA-EJ-7314-01A-31R-2118-07	3690.9382	953.9232
TCGA-KK-A6E5-01A-11R-A311-07	3684.8677	251.6698
TCGA-VP-A87C-01A-11R-A352-07	3674.0078	548.0238
TCGA-XQ-A8TB-01A-11R-A36G-07	3673.4837	638.2881
TCGA-SU-A7E7-01A-22R-A33R-07	3671.0708	815.9292
TCGA-EJ-7793-01A-31R-2263-07	3659.7674	1029.9685
TCGA-KK-A8IH-01A-11R-A36G-07	3659.1427	196.919
TCGA-YL-A8SQ-01B-11R-A37L-07	3658.6868	750
TCGA-V1-A8WL-01A-11R-A37L-07	3652.2776	270.4327
TCGA-VP-A878-01A-31R-A352-07	3649.6085	344.6809
TCGA-EJ-A46B-01A-31R-A250-07	3649.2256	483.5655
TCGA-EJ-A7NH-01A-12R-A33R-07	3641.4568	666.6667
TCGA-QU-A6IL-01A-11R-A31N-07	3640.3117	13.5501
TCGA-VP-A87J-01A-11R-A352-07	3639.6781	1022.0808
TCGA-G9-6351-11A-01R-1965-07	3636.8212	224.411
TCGA-G9-6333-11A-01R-1965-07	3636.188	136.2304
TCGA-Y6-A9XI-01A-11R-A41O-07	3636.1742	961.7706
TCGA-G9-6494-01A-11R-1789-07	3632.6057	635.6176
TCGA-KK-A7B0-01A-11R-A32O-07	3632.0245	45.7264
